title,price,tikinow,freeship,reviews,product_id,link,rating_value,image url,badge under price,discount percentage,installment,free gifts,dis_percentage
AdĐiện Thoại Samsung Galaxy A72 (8GB/256GB) - Hàng Chính Hãng,10990000,Yes,No,No,5864360345274,https://tiki.vn/dien-thoai-samsung-galaxy-a72-8gb-256gb-hang-chinh-hang-p83470267.html?spid=83470275&src=ss-ads,0,https://salt.tikicdn.com/cache/280x280/ts/product/c8/4c/ef/acfba3f3dbc9c9a7bf9a3fe40209da44.jpg,No,,Yes,No,4
Điện Thoại Samsung Galaxy S21 Ultra 5G (12GB/128GB) - Hàng Chính Hãng,24950000,No,No,No,1147764601506,https://tiki.vn/dien-thoai-samsung-galaxy-s21-ultra-hang-chinh-hang-p74810915.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/c5/f1/57/e1ce9edeb8c87db9ec4adf5bbe6a1344.png,No,,No,No,19
Điện Thoại iPhone 12 Pro 128GB - Hàng Chính Hãng,26990000,Yes,Yes,163,3951268946876,https://tiki.vn/dien-thoai-iphone-12-pro-128gb-hang-chinh-hang-p71198345.html?src=ss-organic,5,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,No,,Yes,No,13
Điện Thoại Nokia 105 Single Sim - Hàng Chính Hãng,330000,Yes,No,324,7139436320222,https://tiki.vn/dien-thoai-nokia-105-single-sim-2019-hang-chinh-hang-p34942696.html?src=ss-organic,4.6,https://salt.tikicdn.com/cache/280x280/ts/product/d8/4d/b3/2e6197b0211b70555b6a1c2fa44b9a54.jpg,No,,No,No,8
AdĐiện Thoại Samsung Galaxy A52 (8GB/128GB) - Hàng Chính Hãng,9290000,No,No,No,4445715165755,https://tiki.vn/dien-thoai-samsung-galaxy-a52-8gb-128gb-hang-chinh-hang-p83368040.html?spid=83368047&src=ss-ads,0,https://salt.tikicdn.com/cache/280x280/ts/product/ea/05/a0/b9e8e86ff1a0d568733915ce19d817ee.jpg,No,,No,No,0
Điện Thoại Oppo A73 2020 (6GB/128GB) - Hàng Chính Hãng,4490000,Yes,No,515,2984500051909,https://tiki.vn/dien-thoai-oppo-a73-2020-6gb-128gb-hang-chinh-hang-p71159365.html?src=ss-organic,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/df/48/86/d5d78cf9deede069da2e3b46346f96f0.jpg,No,,Yes,No,18
Điện thoại Vivo Y1S - Hàng chính hãng,2073700,Yes,No,19,2475291908928,https://tiki.vn/dien-thoai-vivo-y1s-hang-chinh-hang-p58444960.html?src=ss-organic,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/ac/e0/57/6f377a45a456cda76c40bbd79b64a0a3.png,No,,No,No,23
Điện Thoại iPhone 12 64GB - Hàng  Chính Hãng,20490000,Yes,Yes,156,7476447002793,https://tiki.vn/dien-thoai-iphone-12-hang-chinh-hang-p70766415.html?src=ss-organic,5,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,No,,Yes,No,18
AdMáy Tính Bảng Samsung Galaxy Tab S7 Wifi T870 (6GB/128GB) - Hàng Chính Hãng,14590000,Yes,No,6,6540022360710,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-s7-wifi-t870-6gb-128gb-hang-chinh-hang-p83492084.html?spid=83492086&src=ss-ads,5,https://salt.tikicdn.com/cache/280x280/ts/product/e7/c0/ee/f3873073d5c010413784ac80ad0409f5.jpg,No,,Yes,No,3
Điện Thoại iPhone 12 Mini 64GB - Hàng Chính Hãng,16990000,Yes,Yes,67,1861495616225,https://tiki.vn/dien-thoai-iphone-12-mini-64gb-hang-chinh-hang-p71201117.html?src=ss-organic,4.7,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,No,,Yes,No,23
