title,price,tikinow,freeship,reviews,product_id,link,rating_value,image url,badge under price,discount percentage,installment,free gifts,dis_percentage
Điện Thoại Samsung Galaxy A10s (2GB/32GB) - Hàng Chính Hãng,2390000,Yes,No,285,7516299415539,https://tiki.vn/dien-thoai-samsung-galaxy-a10s-32gb-2gb-hang-chinh-hang-p25918805.html?src=ss-organic,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/e3/a5/b4/e4bbe8c4dc2d9199d29d15c577daf0ea.jpg,No,,No,No,35
Điện Thoại iPhone 12 Pro 128GB - Hàng Chính Hãng,26990000,Yes,Yes,163,3951268946876,https://tiki.vn/dien-thoai-iphone-12-pro-128gb-hang-chinh-hang-p71198345.html?src=ss-organic,5,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,No,,Yes,No,13
Điện Thoại iPhone 12 64GB - Hàng  Chính Hãng,20490000,Yes,Yes,156,7476447002793,https://tiki.vn/dien-thoai-iphone-12-hang-chinh-hang-p70766415.html?src=ss-organic,5,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,No,,Yes,No,18
Điện Thoại iPhone 12 Mini 64GB - Hàng Chính Hãng,16990000,Yes,Yes,67,1861495616225,https://tiki.vn/dien-thoai-iphone-12-mini-64gb-hang-chinh-hang-p71201117.html?src=ss-organic,4.7,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,No,,Yes,No,23
Điện Thoại Oppo A73 2020 (6GB/128GB) - Hàng Chính Hãng,4490000,Yes,No,515,2984500051909,https://tiki.vn/dien-thoai-oppo-a73-2020-6gb-128gb-hang-chinh-hang-p71159365.html?src=ss-organic,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/df/48/86/d5d78cf9deede069da2e3b46346f96f0.jpg,No,,Yes,No,18
Điện Thoại Oppo A93 2020 (8GB/128GB) - Hàng Chính Hãng,5590000,Yes,No,91,5164589212225,https://tiki.vn/dien-thoai-oppo-a93-2020-8gb-128gb-hang-chinh-hang-p68596326.html?src=ss-organic,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/58/76/44/f3f0452e127c308e933073d2f72410f8.jpg,No,,Yes,No,25
Điện Thoại iPhone 11 128GB - Hàng Chính Hãng,17990000,Yes,No,342,3944486607964,https://tiki.vn/dien-thoai-iphone-11-128gb-hang-chinh-hang-p32033730.html?src=ss-organic,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/0c/62/39/499c08d6ec13cd33b33ee601d9e4251e.jpg,No,,Yes,No,25
Điện Thoại Samsung Galaxy M11 (3GB/32GB) - Hàng Chính Hãng,2790000,Yes,No,974,4387243444522,https://tiki.vn/dien-thoai-samsung-galaxy-m11-3gb-32gb-hang-chinh-hang-p52717588.html?src=ss-organic,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/9a/d8/a2/ee6fd1f6a847e1d234c46eb5666cb129.jpg,Yes,,No,No,24
Điện thoại Vsmart Aris (8GB/128GB) - Hàng Chính Hãng,5790000,Yes,No,75,3224729988112,https://tiki.vn/dien-thoai-vsmart-aris-8gb-128gb-hang-chinh-hang-p73113762.html?src=ss-organic,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/36/96/0d/2844545518e34ff3a4fb8679d10f4a53.jpg,No,,No,No,23
Điện thoại Xiaomi POCO X3 - Hàng Chính Hãng ,4990000,No,No,1,3263372026727,https://tiki.vn/dien-thoai-xiaomi-poco-x3-128gb-ram-6gb-hang-chinh-hang-p67057190.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/01/ca/08/6fdc7404415e546bb209c5253219fad1.png,No,,No,No,25
